Date,Close,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,log_return,return_lag_1,return_lag_2,return_lag_3,return_lag_5,volatility_10d,volatility_20d,volatility_60d
2005-04-15,4.41063,"4.403,76","4.412,50","4.402,41",,"0,05%",0.00054201956906326,0.0032969921833022704,0.00101332012163892,0.003000432350646962,0.001398687929856982,0.0012840958454424893,0.003291795717374611,0.005523094772920771
2005-04-18,4.41,"4.409,16","4.412,88","4.401,33",,"-0,01%",-0.0001428469397472638,0.00054201956906326,0.0032969921833022704,0.00101332012163892,-0.0005619825796242611,0.0012230513787724758,0.0031600577881653797,0.005521284820774187
2005-04-19,4.42039,"4.406,29","4.427,74","4.406,14",,"0,24%",0.0023532380324651626,-0.0001428469397472638,0.00054201956906326,0.0032969921833022704,0.003000432350646962,0.0012634527879738164,0.0031474821751487033,0.0055322569334975025
2005-04-20,4.43933,"4.418,12","4.439,33","4.417,74",,"0,43%",0.004275536665326192,0.0023532380324651626,-0.0001428469397472638,0.00054201956906326,0.00101332012163892,0.0015534318898313708,0.003329705750373259,0.00556419130105338
2005-04-25,4.43746,"4.435,41","4.440,51","4.426,96",,"-0,04%",-0.000421323480146086,0.004275536665326192,0.0023532380324651626,-0.0001428469397472638,0.0032969921833022704,0.0016902695112657761,0.0033272173472395166,0.005564167934596053
2005-04-26,4.4356,"4.435,19","4.437,95","4.429,89",,"-0,04%",-0.0004192465794762493,-0.000421323480146086,0.004275536665326192,0.0023532380324651626,0.00054201956906326,0.0017940159286338887,0.0033271958102401916,0.005551859841164205
2005-04-27,4.4387,"4.431,81","4.441,40","4.431,81",,"0,07%",0.0006986466822385125,-0.0004192465794762493,-0.000421323480146086,0.004275536665326192,-0.0001428469397472638,0.00169043936972897,0.003308778944882024,0.005525230533704905
2005-04-28,4.45738,"4.434,61","4.458,67","4.432,42",,"0,42%",0.004199608693823611,0.0006986466822385125,-0.0004192465794762493,-0.000421323480146086,0.0023532380324651626,0.0018500359772052814,0.0033864331419514206,0.005556279643508827
2005-04-29,4.4747,"4.449,22","4.476,88","4.449,22",,"0,39%",0.003878160900466317,0.004199608693823611,0.0006986466822385125,-0.0004192465794762493,0.004275536665326192,0.0019769475601814656,0.0029861963251591557,0.0055815628028241405
2005-05-02,4.49621,"4.470,76","4.496,45","4.469,22",,"0,48%",0.0047955093121977805,0.003878160900466317,0.004199608693823611,0.0006986466822385125,-0.000421323480146086,0.002150045777536749,0.0026072189919401543,0.005595184160738429
2005-05-03,4.47742,"4.486,72","4.493,20","4.477,39",,"-0,42%",-0.0041878320058833605,0.0047955093121977805,0.003878160900466317,0.004199608693823611,-0.0004192465794762493,0.0028925764689890616,0.002181531939763993,0.005593981309715169
2005-05-04,4.46243,"4.440,75","4.467,62","4.431,32",,"-0,33%",-0.0033535269715497073,-0.0041878320058833605,0.0047955093121977805,0.003878160900466317,0.0006986466822385125,0.003251475404560188,0.0023917811017143114,0.005582528674368314
2005-05-05,4.50469,"4.472,89","4.504,69","4.472,89",,"0,95%",0.009425615553767858,-0.0033535269715497073,-0.0041878320058833605,0.0047955093121977805,0.004199608693823611,0.004173116545020611,0.0030100414145028654,0.00571420084546343
2005-05-06,4.52314,"4.511,99","4.525,75","4.511,99",,"0,41%",0.004087366662052331,0.009425615553767858,-0.0033535269715497073,-0.0041878320058833605,0.003878160900466317,0.004161568567107389,0.003058603613868355,0.005698673610576546
2005-05-09,4.51857,"4.524,25","4.527,49","4.514,08",,"-0,10%",-0.0010108708173912698,0.004087366662052331,0.009425615553767858,-0.0033535269715497073,0.0047955093121977805,0.004201623025597203,0.0031217411453778234,0.005699687607846934
2005-05-10,4.53541,"4.515,98","4.545,63","4.515,98",,"0,37%",0.003719915312160697,-0.0010108708173912698,0.004087366662052331,0.009425615553767858,-0.0041878320058833605,0.004161150689428934,0.003155136410826643,0.005715489193435452
2005-05-11,4.52566,"4.527,44","4.535,18","4.522,23",,"-0,21%",-0.0021520645493296343,0.003719915312160697,-0.0010108708173912698,0.004087366662052331,-0.0033535269715497073,0.004369774190318401,0.0032357157017909245,0.005720535900660188
2005-05-12,4.51448,"4.521,34","4.524,22","4.514,48",,"-0,25%",-0.0024734142833473397,-0.0021520645493296343,0.003719915312160697,-0.0010108708173912698,0.009425615553767858,0.004494148303165454,0.0033477068831384927,0.005728078371767989
2005-05-13,4.49902,"4.513,36","4.518,88","4.499,02",,"-0,34%",-0.0034304133046569466,-0.0024734142833473397,-0.0021520645493296343,0.003719915312160697,0.004087366662052331,0.0046160151260136425,0.003518276931428102,0.005742920518052153
2005-05-16,4.48603,"4.492,21","4.494,55","4.486,03",,"-0,29%",-0.002891471733681447,-0.0034304133046569466,-0.0024734142833473397,-0.0021520645493296343,-0.0010108708173912698,0.0044666196232081975,0.0035939841615774946,0.005752753524338724
